Era,Lyrics
1990s, its the right kind of love its the right kind of night youre the right kind of girl ooh oh yeah hey hey ooh its the right kind of love kind of lovedaydreamin about you baby and it must be love girl you make my heart go crazy high as the heavens above oh yeahi hope youre thinkin about me girl because all of my thoughts are with you my love theres no reason to doubt me believe me its true girl i know that i can give youthe right kind of love its the right kind of night youre the right kind of girl and were right on timeoh now baby you know we cant go wrong no why you trying to hold back baby tell me what you feel yeah if youre having mixed emotions ill show you that im for realwhat can i do to make you see theres nobody but you and girl its not magic or fantasy its simple and true i know that i can give youthe right kind of love its the right kind of night youre the right kind of girl im the right kind of guyits the right kind of love on the right kind of night theres the right kind of stars in the right kind of skyoh now baby you know we cant go wrong girl i got a heart thats true i got the right kind of love im gonna give it to you and you got me romantic cant you see im the guy for you and youre the girl for mei got a heart thats true and a soul thats deep ill be the right kind of lover baby cant you see im gonna treat you the right kind of way you know it so come on girl staykind of love kind of night youre the right kind of girl and were right on time its the right kind of love on the right kind of night theres the right kind of stars oohi could do with a girl like you i could do with a girl like you i could do with a girl like you see what i can do with a girl like you yeah its you and me together its the right kind of love right kind of stars 
pre-1980, war huh yeah what is it good for absolutely nothing oh hoh oh war huh yeah what is it good for absolutely nothing say it again yall war huh good god what is it good for absolutely nothing listen to meoh war i despise cause it means destruction of innocent lives war means tears to thousands of mothers eyes when their sons go off to fight and lose their livesi said war huh good god yall what is it good for absolutely nothing just say it again war whoa lord what is it good for absolutely nothing listen to me war it aint nothin but a heartbreak war friend only to the undertakeroh war is an enemy to all mankind the thought of war blows my mind war has caused unrest within the younger generation induction then destruction who wants to diewar good god yall what is it good for absolutely nothing say it say it say it war uh huh yeah huh what is it good for absolutely nothing listen to me war it aint nothin but a heartbreaker war its got one friend thats the undertakeroh war has shattered many young mans dreams made him disabled bitter and mean life is much too short and precious to spend fighting wars these days war cant give life it can only take it away oohwar huh good god yall what is it good for absolutely nothing say it again war whoa lord what is it good for absolutely nothing listen to me war it aint nothin but a heartbreaker war friend only to the undertakerpeace love and understanding tell me is there no place for them today they say we must fight to keep our freedom but lord knows theres got to be a better waywar huh good god yall what is it good for you tell em say it say it say it say it war good lord huh what is it good for stand up and shout it nothing war it aint nothin but a heartbreaker 
1980s, here we are the two of us together taking this crazy chance to be all alone we both know that we should not be together cause if they found out it could mess up both our happy homesi hate to think about us all meeting up together cause soon as i looked at you it would show on my face yeah then theyll know that weve been loving each other we can never no no no no we cant leave a tracesittin at home i do nothing all day but think about you and hope that youre okay hoping youll call before anyone gets home ill wait anxiously alone by the phonehow could something so wrong be so right i wish we didnt have to keep our love out of sight yeah living two lives just aint easy at all but we gotta hang on and after fallsecret lovers yeah thats what we are trying so hard to hide the way we feel cause we both belong to someone else but we cant let it go cause what we feel is oh so real so real so realyou and me are we fair is this cruel or do we care can they tell thats in our minds maybe theyve had secret love all of the timein the middle of makin love we notice the time we both get nervous cause its way after nine even though we hate it we know its time that we go we gotta be careful so that no one will knowsecret lovers yeah thats what we are we shouldnt be together but we cant let it go cause what we feel is oh so real so real so real so real so real 
pre-1980, money money money money money x6 some people got to have it some people really need it listen to me yall do things do things do bad things with it you wanna do things do things do things good things with it talk about cash money money talk about cash money dollar bills yallfor the love of money people will steal from their mother for the love of money people will rob their own brother for the love of money people cant even walk the street because they never know who in the world theyre gonna beat for that lean mean mean green almighty dollar moneyfor the love of money people will lie lord they will cheat for the love of money people dont care who they hurt or beat for the love of money a woman will sell her precious body for a small piece of paper it carries a lot of weight call it lean mean mean greenalmighty dollari know money is the root of all evil do funny things to some people give me a nickel brother can you spare a dime money can drive some people out of their mindsgot to have it i really need it how many things have i heard you say some people really need it how many things have i heard you say got to have it i really need it how many things have i heard you say lay down lay down a woman will lay down for the love of money all for the love of money dont let dont let dont let money rule you for the love of money money can change people sometimes dont let dont let dont let money fool you money can fool people sometimes people dont let money dont let money change you it will keep on changing changing up your mind 
2000s,soulja boy tell em hopped up out the bed turn my swag on took a look in the mirror said whats up yeah im getting money oh hopped up out the bed turn my swag on took a look in the mirror said whats up yeah im getting money oh turn my swag on its my time to turn it up yeah yeah i put my team on did my theme song now its time to turn it up yeah yeah i got a question why they hatin on me i got a question why they hatin on me i aint did nothing to em but count this money and put my team on and now my hold click stunny boy wats up yeah boy wats up yeah when i was nine years old i put it in my head ima die for this gold soulja boy tell em boy whats up hopped up out the bed turn my swag on took a look in the mirror said whats up yea im getting money oh hopped up out the bed turn my swag on took a look in the mirror said whats up yea im getting money oh im back again i know a lot of yall thought i wasnt coming back yeah yeah i had to prove em wrong got back in the studio came up wit another hit yeah yeah i told the world my story the world where im from souljaboyxlcom boy whats up yeah yeah now every time you hear me spit every time you hear me rhyme every time you see me in your state or town say wats up yeah yeah soulja boy tell em hopped up out the bed turn my swag on took a look in the mirror said whats up yeah im getting money oh hopped up out the bed turn my swag on took a look in the mirror said whats up yeah im getting money oh
1990s, oh my god becky look at her butt it is so big she looks like one of those rap guys girlfriends but ya know who understands those rap guys they only talk to her because she looks like a total prostitute kay i mean her butt is just so big i cant believe its just so round its like out there i mean gross look shes just so blacki like big butts and i can not lie you other brothers cant deny that when a girl walks in with an itty bitty waist and a round thing in your face you get sprung want to pull up tough cause you notice that butt was stuffed deep in the jeans shes wearing im hooked and i cant stop staring oh baby i want to get witcha and take your picture my homeboys tried to warn me but with that butt you got makes me so horny ooh rumposmoothskin you say you want to get in my benz well use me use me cause you aint that average groupie ive seen her dancin to hell with romancin shes sweat wet got it goin like a turbo vette im tired of magazines sayin flat butts are the thing take the average black man and ask him that she gotta pack much back so fellas yeah fellas yeah has your girlfriend got the butt hell yeah tell em to shake it shake it shake it shake it shake that healthy butt baby got back la fits with the oakland bootybaby got back la fits with the oakland bootyi like em round and big and when im throwin a gig i just cant help myself im actin like an animal now heres my scandal i want to get you home and ugh doubleup ugh ugh i aint talkin bout playboy cause silicone parts are made for toys i want em real thick and juicy so find that juicy double mixalots in trouble beggin for a piece of that bubble so im lookin at rock videos knockkneed bimbos walkin like hoes you can have them bimbos ill keep my women like flo jo a word to the thick soul sistas i want to get with ya i wont cuss or hit ya but i gotta be straight when i say i want to fuck til the break of dawn baby got it goin on a lot of simps wont like this song cause them punks like to hit it and quit it and id rather stay and play cause im long and im strong and im down to get the friction on so ladies yeah ladies yeah if you want to role in my mercedes yeah then turn around stick it out even white boys got to shout baby got backbaby got back yeah baby when it comes to females cosmo aint got nothin to do with my selection thirty sixtwenty fourthirty six ha ha only if shes 53so your girlfriend rolls a honda playin workout tapes by fonda but fonda aint got a motor in the back of her honda my anaconda dont want none unless youve got buns hon you can do side bends or situps but please dont lose that butt some brothers want to play that hard role and tell you that the butt aint gol so they toss it and leave it and i pull up quick to retrieve it so cosmo says youre fat well i aint down with that cause your waist is small and your curves are kickin and im thinkin bout stickin to the beanpole dames in the magazines you aint it miss thing give me a sista i cant resist her red beans and rice didnt miss her some knucklehead tried to dis cause his girls are on my list he had game but he chose to hit em and i pull up quick to get wit em so ladies if the butt is round and you want a triple x throw down dial 1900mixalot and kick them nasty thoughts baby got backbaby got backlittle in the middle but she got much back little in the middle but she got much back little in the middle but she got much back little in the middle but she got much back 
pre-1980,hey hey hey hey beat is gettin stronger the beat is gettin longer too musics soundin good to me but i wanna said i wanna i wanna take you higher yeah let me take you higher baby baby let me light your fire ooh yeah little bit higher boom shacka lacka lacka boom shacka la boonka boo hey hey hey hey beat is nittygritty musics in your city too musics gettin good to me but now dont ya i said dont ya dont ya wanna get higher yeah dont ya wanna get higher baby baby let me light your fire ooh ha little bit higher boom shacka lacka lacka boom shacka la boonka boo hey hey hey hey come on baby higher dont ya wanna get high higher ooh yeah higher light your fire   fire come on daddy higher a little bit higher   higher i wanna   higher said i wanna light your fire   fire boom shacka lacka lacka boom shacka la boonka boo hey hey hey hey beat is here to make you move musics here to help you groove musics soundin good to me but take your places im gonna take you higher higher yeah baby gonna take ya higher higher ooh yeah little bit higher cmon daddy higher a little bit higher
1990s,yeah hell yeah ha know what im sayin yeah mista busta where the fuck ya at cant scrap a lick so i know ya got your gat your dick on hard from fuckin your road dogs the hood you threw up with niggaz you grew up with dont even respect your ass thats why its time for the doctor to check your ass nigga used to be my homey used to be my ace now i wanna slap the taste out yo mouth nigga bow down to the row fuckin me now im fuckin you little hoe oh dont think i forgot let you slide let me ride just another homicide yeah its me so ima talk on stompin on the eazyest streets that you can walk on so strap on your compton hat your locs and watch your back cause you might get smoked loc and pass the bud and stay lowkey bg cause you lost all your homeys love now call it what you want to you fucked with me now its a must that i fuck wit you yeah thats what the fuck im talkin about we have your motherfuckin record company surrounded put down the candy and let the little boy go you know what im sayin punk motherfucker we want eazy we want eazy bow wow wow yippy yo yippy yay doggy doggs in the motherfuckin house bow wow wow yippy yo yippy yay death rows in the motherfuckin house bow wow wow yippy yo yippy yay the sounds of a dog brings me to another day play with my bone with ya jimmy it seems like youre good for makin jokes about your jimmy but heres a jimmy joke about your mama that you might not like i heard she was the frisco dyke but fuck your mama im talkin about you and me toe to toe tim m u t your bark was loud but your bite wasnt vicious and them rhymes you were kickin were quite bootylicious you get with doggy dogg oh is he crazy with ya mama and your daddy hollin baybee so wont they let you know that if you fuck with dre nigga youre fuckin wit death row and i aint even slangin them thangs im hollin oneeightseven with my dick in yo mouth beeyatch yeah nigga compton and long beach together on this motherfucker so you wanna pop that shit get yo motherfuckin cranium cracked nigga step on up now we aint no motherfuckin joke so remember the name mighty mighty d r yeah motherfucker now understand this my nigga dre cant be touched lukes bendin over so lukes gettin fucked busta musta thought i was sleazy or though i was a mark cause i used to hang with eazy animosity made ya speak but ya spoke ay yo dre whattup check this nigga off loc if it aint another ho that i gots ta fuck with gap teeth in ya mouth so my dicks gots to fit with my nuts on ya tonsils while ya on stage rappin at your wackass concerts and ima snatch your ass from the backside to show you how death row pull off that whoride now you might not understand me cause ima rob you in compton and blast you in miami then we gon creep to south central on a street knowledge mission as i steps in the temple spot him got him as i pulls out my strap got my chrome to the side of his white sox hat you tryin to check my homey you better check yo self cause when you diss dre you diss yourself motherfucker yeah nigga yeah ninedeuce dr dre dropin chronic once again it dont stop punishing punk motherfuckers real quick like compton style nigga doggy dogg in the motherfuckin house yeah long beach in the motherfuckin house yeah yeah straight up really doe breakin all you suckaz off somethin real proper like you know what im sayin all these sucka ass niggaz can eat a fat dick yeah eazye eazye eazye can eat a big fat dick tim dog can eat a big fat dick luke can eat a fat dick yeah
1980s,im not aware of too many things i know what i know if you know what i mean im not aware of too many things i know what i know if you know what i mean philosophy is the talk on a cereal box religion is the smile on a dog im not aware of too many things i know what i know if you know what i mean ddoo yeah choke me in the shallow waters before i get too deep what i am is what i am are you what you are or what what i am is what i am are you what you are or oh im not aware of too many things i know what i know if you know what i mean philosophy is a walk on the slippery rocks religion is a light in the fog im not aware of too many things i know what i know if you know what i mean ddoo yeah choke me in the shallow water before i get too deep choke me in the shallow water before i get too deep what i am is what i am are you what you are or what what i am is what i am are you what you are or what what i am is what i am are you what you are or what you are and what i am is what i am are you what you are or what choke me in the shallow water before i get too deep choke me in the shallow water before i get too deep choke me in the shallow water before i get too deep choke me in the shallow water before i get too deep choke me in the shallow water before i get too deep dont let me get too deep dont let me get too deep dont let me get too deep dont let me get too deep what i am is what i am are you what you are or what what i am is what i am are you what you are or what what i am is what i am are you what you are or what you are and what i am is what i am are you what you are or what
1980s,  
pre-1980, strangers in the night exchanging glances wondering in the night what were the chances wed be sharing love before the night was through something in your eyes was so inviting something in your smile was so exciting something in my heart told me i must have youstrangers in the night two lonely people we were strangers in the night up to the moment when we said our first hello little did we know love was just a glance away a warm embracing dance away and ever since that night weve been together lovers at first sight in love forever it turned out so right for strangers in the nightlove was just a glance away a warm embracing dance away ever since that night weve been together lovers at first sight in love forever it turned out so right for strangers in the nightdoobeedoobeedoo doodoodeedah dahdahdahdahdah 
1990s, see hes my property and any girl that touch i might just call your bluff cause i dont give a whoo are you to call my cell oh ima wish you well cause any girl that tried has fellwhere my girls at from the front to back well is you feelin that well put one hand up can you repeat that tryin to take my man see i dont need that so dont play yourselfwhere my girls at from the front to back well is you feelin that well put one hand up can you repeat that tryin to take my man see i dont need thathey hey hey heydont you violate me cause ima make you hate me if you decide to mess with mine chop you down to size make you realize you done messed up this timewhere my girls at from the front to back well is you feelin that well put one hand up can you repeat that tryin to take my man see i dont need that so dont play yourselfwhere my girls at from the front to back well is you feelin that well put one hand up can you repeat that tryin to take my man see i dont need thatyou must learn the rules dont come close to anything that belongs to me he is my my property so dont you seewhere my girls at from the front to back well is you feelin that well put one hand up can you repeat that tryin to take my man see i dont need that so dont play yourselfwhere my girls at from the front to back well is you feelin that well put one hand up can you repeat that tryin to take my man see i dont need thatwhere my girls at from the front to back well is you feelin that well put one hand up can you repeat that tryin to take my man see i dont need that so dont play yourselfwhere my girls at from the front to back well is you feelin that well put one hand up can you repeat that tryin to take my man see i dont need that 
1990s, when i was young i never needed anyone and making love was just for fun those days are gone livin alone i think of all the friends ive known when i dial the telephone nobodys homeall by myself dont wanna be all by myself anymorehard to be sure sometimes i feel so insecure and loves so distant and obscure remains the cureall by myself dont wanna be all by myself anymoreall by myself dont wanna live all by myself anymorewhen i was young i never needed anyone making love was just for fun those days are goneall by myself dont wanna be all by myself anymoreall by myself dont wanna live oh dont wanna live by myself by myself anymore by myself anymore oh all by myself dont wanna live i never never never needed anyone 
1980s, love can make you weep can make you run for cover roots that spread so deep bring life to frozen groundsomething so strong could carry us away something so strong could carry us todayturning in my sleep love can leave you cold the taste of jealousy is like a lust for goldsomething so strong could carry us away something so strong could carry us todayive been feeling so much older frame me and hang me on the wall ive seen you fall into the same trap this thing is happening to us all yeahsomething so strong could carry us away something so strong could carry us today yeahsomething so strong something so strong something so strong something so so strong 
pre-1980,the jackson 5 miscellaneous never can say goodbye never can say goodbye i never can say goodbye no no no no now i never can say goodbye even though the pain and heartache seems to follow me wherever i go though i try and try to hide my feelings they always seems to show then you try to say youre leaving me and i always have to say no tell me why is it so that i never can say goodbye no no no no now i never can say goodbye everytime i think ive had enough and start heading for the door theres a very strange vibration piercing me right through the core it says turn around you fool you know you love him more and more tell me why is it so dont wanna let go never can say goodbye boy oo oo baby never can say goodbye no no no no no oo oh i never can say goodbye boy oo oo i never can say goodbye no no no no no oo never can say goodbye no no no no now i never can say goodbye i keep thinking that our propblems soon are all gonna work out but theres that same unhappy feeling theres that anguish theres that doubt its the same old dizzy hangup cant do with you or without tell me why is it so dont wanna let you go
2000s, oh oh so much for my happy ending oh oh so much for my happy ending oh ohohhhlets talk this over its not like were dead was it something i did was it something you saiddont leave me hangin in a city so dead held up so high on such a breakable threadyou were all the things i thought i knew and i thought we could beyou were everything everything that i wantedthat i wanted we were meant to be supposed to be but we lost it we lost it all of the memories so close to me just fade awayall this time you were pretending so much for my happy ending oh oh so much for my happy ending oh ohyouve got your dumb friends i know what they say they say they tell you im difficult but so are they but so are they but they dont know medo they even know you even know you all the things you hide from me all the shit that you do all the shit that you doyou were all the things i thought i knew and i thought we could beyou were everything everything that i wanted that i wanted we were meant to be supposed to be but we lost it we lost it all of the memories so close to me just fade away all this time you were pretending so much for my happy endingits nice to know that you were there thanks for acting like you care and making me feel like i was the only one its nice to know we had it all thanks for watching as i fall and everything that we could behe was everything everything that i wanted we were meant to be supposed to be but we lost it all of the memories so close to me just fade away all this time you were pretending so much for my happy endingyou were everything everything that i wanted that i wanted we were meant to be supposed to be but we lost it all of the memories so close to me just fade away all this time you were pretending so much for my happy endingoh oh oh oh so much for my happy ending oh oh oh oh so much for my happy ending 
1980s, hes a cold hearted snake girl look into his eyes oh oh hes been tellin lies hes a lover boy at play though he dont play by rules oh oh girl dont play the fool noyoure the one givin up the love anytime he needs it but you turn your back and then hes off and runnin with the crowd youre the one to sacrifice anything to please him do you really think he thinks about you when hes outhes a cold hearted snake girl look into his eyes oh oh hes been tellin lies hes a lover boy at play though he dont play by rules oh oh girl dont play the fool noit was only late last night he was out there sneakin then he called you up to check that you were waiting by the phone all the worlds a candy store hes been trick or treatin when it comes to true love girl with him theres no one homehes a cold hearted snake girl look into his eyes oh oh hes been tellin lies hes a lover boy at play though he dont play by rules oh oh girl dont play the fool noyou could find somebody better girl he could only make you cry you deserve somebody better girl hes ccold as ice cold as ice hes cold as ice hes cold as ice stay away from him girlcccold hearted cccold hearted snake cccold hearted cccold hearted snakehes a cold hearted snake girl look into his eyes oh oh hes been tellin lies hes a lover boy at play though he dont play by rules oh oh girl dont play the fool nolook into his eyes hes been tellin lies he dont play by rules girl dont play the foolhes a cold hearted snake girl look into his eyes oh oh hes been tellin lies hes a lover boy at play though he dont play by rules oh oh girl dont play the foolhes a cold hearted snake girl look into his eyes oh oh hes been tellin lies hes a lover boy at play though 
2000s, well i woke up to the sound of silence the cars were cutting like knives in a fist fight and i found you with a bottle of wine your head in the curtains and heart like the fourth of julyyou swore and said we are not we are not shining stars this i know i never said we arethough ive never been through hell like that ive closed enough windows to know you can never look backif youre lost and alone or youre sinking like a stone carry on may your past be the sound of your feet upon the ground carry oncarry on carry onso i met up with some friends in the edge of the night at a bar off seventy five and we talked and talked about how our parents will die all our neighbors and wivesbut i like to think i can cheat it all to make up for the times ive been cheated on and its nice to know when i was left for dead i was found and now i dont roam these streets i am not the ghost you want of meif youre lost and alone or youre sinking like a stone carry on may your past be the sound of your feet upon the ground and carry onwoah my head is on fire but my legs are fine after all they are mine lay your clothes down on the floor close the door hold the phone show me how no ones ever gonna stop us nowcause we are we are shining stars we are invincible we are who we are on our darkest day when were miles away so well come we will find our way homeif youre lost and alone or youre sinking like a stone carry on may your past be the sound of your feet upon the ground and carry onno ones ever gonna stop us now no ones ever no ones ever gonna stop no ones ever gonna stop us now no ones ever no ones ever gonna stop  no ones ever gonna stop no ones ever gonna stop us now 
2000s, i know they say you cant go home again well i just had to come back one last time and maam i know you dont know me from adam but these hand prints on the front steps are mineup those stairs in that little back bedroom is where i did my homework and i learned to play guitar and i bet you didnt know under that live oak my favorite dog is buried in the yardi thought if i could touch this place or feel it this brokenness inside me might start healing out here its like im someone else i thought that maybe i could find myselfif i could just come in i swear ill leave wont take nothing but a memory from the house that built memama cut out pictures of houses for years from better homes and garden magazine plans were drawn and concrete poured and nail by nail and board by board daddy gave life to mamas dreami thought if i could touch this place or feel it this brokenness inside me might start healing out here its like im someone else i thought that maybe i could find myselfif i could just come in i swear ill leave wont take nothing but a memory from the house that built meyou leave home you move on and you do the best you can i got lost in this whole world and forgot who i ami thought if i could touch this place or feel it this brokenness inside me might start healing out here its like im someone else i thought that maybe i could find myselfif i could walk around i swear ill leave wont take nothing but a memory from the house that built me 
2000s, now this ss about to kick off this party looks wack lets take it back to straight hiphop and start it from scratch im bout to bloody this track up everybody get back thats why my pen needs a pad cause my rhymes on the rahag just like i did with addiction im bout to kick it like a magician critics i turn to crickets got em still on the fence ready to pick it but quick get impaled when i tell em stick it so sick im looking pale well thats my pigment bout to go ham ya bish shout out to kendrick lets bring it back to that vintage slim b the art of the mcing mixed with da vinci and mc ren and i dont mean stimpys friend b been public enemy since you thought pe was gym btake your shoes off let your hair down and go berzerk all night long grow your beard out just weird out and go berzerk all night longwere gonna rock this house until we knock it down so turn the volume loud cause its mayhem til the am so baby make just like kfed and let yourself go let yourself go say f it before we kick the bucket lifes too short to not go for broke so everybody everybody go berzerk shake your bodyguess its just the way that im dressed aint it khakis pressed nike shoes crispy and fresh laced so i guess it aint that aftershave or cologne that made them just faint plus i just showed up with a coat fresher than wet paint so if love is a chess game check mate but girl your bodys banging jump me in gang bang bang yessiree bob i was thinking the same thing so come get on this kids rock bawwitdabaw dangdang ppp powpow chickachicka wowwow catch a cab i wanna go down bbbow bow slow it down throw in the towel tttowel tow dumb it down i dont know how huhhuh howhow at least i know that i dont know question is are you bozos smart enough to feel stupid hope so now hotake your shoes off let your hair down and go berserk all night long grow your beard out just weird out and go berserk all night longwere gonna rock this house until we knock it down so turn the volume loud cause its mayhem til the am so crank the ba up like crazy and let yourself go let yourself go say f it before we kick the bucket lifes too short to not go for broke so everybody everybody go berzerk get your vialsthey say that love is powerful as cough syrup and styrofoam all i know is i fell asleep and woke up in that monte carlo with the ugly kardashian lamar oh sorry yo we done both set the bar low bars hard drugs hard thought thats the past but i done did enough codeine to knock future into tomorrow and girl i aint got no money to borrow but i am tryin to find a way to get you alone car note oh marshall mathers shouldnt everybody know get the bar soap lathered kangols and carhartt these cargos girl youre fixin to get your heart broke dont be absurd man you bird brained baby i aint called anybody baby since birdman unless youre a swallow word wword man you heard but dont be discouraged girl this is your jam unless you got toe jamtake your shoes off let your hair down and go berzerk all night long grow your beard out just weird out and go berzerk all night longwere gonna rock this house until we knock it down so turn the volume loud cause its mayhem til the am so baby make just like kfed and let yourself go let yourself go say f it before we kick the bucket lifes too short to not go for broke so everybody everybody go berzerk get your vialswere gonna rock this house until we knock it down so turn the volume loud cause its mayhem til the am so crank the ba up like crazy and let yourself go let yourself go say f it before we kick the bucket lifes too short to not go for broke so everybody everybody go berzerk get your vials 
pre-1980,here comes that rainy day feeling again and soon my tears they will be falling like rain it always seems to be a monday left over memories of sunday always spent with you before the clouds appeared and took away my sunshine here comes that rainy day feeling again and ill be dreaming of you baby in vain your face is always on my mind girl i hoping soon youre gonna find your way back tome cause if you say youll stay the rainy days will go away misty morning eyes im trying to disguise the way i feel but i just cant hide it people seem to know the loneliness will show im thinking of my pride but breaking up inside here comes that rainy day feeling again and soon my tears they will be falling like rain it always seems to be a monday left over memories of sunday always spent with you before the clouds appeared and took away my sunshine here comes that rainy day feeling again here comes that rainy day feeling again here comes that rainy day feeling again
1990s, its 12 past midnight dont close your eyes your souls half alive and ill be by your side ive come to take you there show you how to care just be aware that youll have to sharei want your love i want it tonight im taking your heart so dont you fight ill be your answer ill be your wish ill be your fantasy your favorite dishfrom the back to the middle and around again im gonna be there til the end 100 pure love from the back to the middle and around again im gonna be there til the end 100 pure loveyou saw a brand new high thought that you could fly did i hear you cry or did you like the ride you call my name again no its not a sin ill show you how to win and where ive beeni want your love i want it tonight im taking your heart so dont you fight ill be your answer ill be your wish ill be your fantasy your favorite dishfrom the back to the middle and around again im gonna be there til the end 100 pure love from the back to the middle and around again im gonna be there til the end 100 pure love from the back to the middle and around again im gonna be there til the end 100 pure loveyoull never have to run away youll always have a friend to play youll never go out on your own in me you will find a home homefrom the back to the middle and around again im gonna be there til the end 100 pure love from the back to the middle and around again im gonna be there til the end 100 pure love 
pre-1980,can you surry can you picnic can you surry can you picnic come on come on lets surry down to a stoned soul picnic surry down to a stoned soul picnic therell be lots of time and wine red yellow honey sassafras and moonshine red yellow honey sassafras and moonshine stoned soul stoned soul come on come on lets surry down to a stoned soul picnic surry down to a stoned soul picnic rain and sun come in akin and from the sky come the lord and the lightning and from the sky come the lord and the lightning stoned soul stoned soul surry on soul surry surry surry surry therell be trains of blossoms therell be trains of blossoms therell be trains of music therell be music therell be trains of trust trains of the golden dust come along and surry on sweet trains of thought surry on down can you surry can you surry surry down to a stoned soul picnic can you surry down to a stoned soul picnic therell be lots of time and wine red yellow honey sassafras and moonshine red yellow honey sassafras and moonshine moonshine stoned soul yeah surry on soul surry surry surry surry surry surry surry surry surry surry surry surry
1990s, ive been where you are before no one understands it more you fear every step you take so sure that your heart will breakits not how the story ends youll be back on your feet againbaby this time there aint nothing gonna take this heart away no more goodbyes there aint nothing gonna take my heart awaythe pains still alive in you for what one man put you through you say that were all the same but im called by no other namewe all need a place to run wont you let me be the onebaby this time there aint nothing gonna take this heart away no more goodbyes there aint nothing gonna take my heart awaydont keep the dream in you locked outside your door just believe in this love and dont be afraid anymorei need you to please be strong ive waited for you too longbaby this time there aint nothing gonna take this heart away no more long nights there aint nothing gonna take my heart awaythis time baby nothings gonna take this heart away no more goodbyes there aint nothing gonna take my heart away there aint nothing gonna take my heart away 
pre-1980, we hear youre leaving thats okay i thought our little wild time had just begun i guess you kind of scared yourself you turn and run but if you have a change of heartrikki dont lose that number you dont want to call nobody else send it off in a letter to yourself rikki dont lose that number its the only one you own you might use it if you feel better when you get homei have a friend in town hes heard your name we can go out driving on slow hand row we could stay inside and play games i dont know and you could have a change of heartrikki dont lose that number you dont want to call nobody else send it off in a letter to yourself rikki dont lose that number its the only one you own you might use it if you feel better when you get homeyou tell yourself youre not my kind but you dont even know your mind and you could have a change of heartrikki dont lose that number you dont want to call nobody else send it off in a letter to yourself rikki dont lose that number its the only one you own you might use it if you feel better when you get home 
1980s, he said baby whats wrong with you why dont you use your imagination nations go to war over women like you its just a form of appreciationcome on over here lay your clothes on the chair now let the lace fall across your shoulder standin in the half light youre almost like her now take it slow like your daddy told yastrut pout put it out thats what you want from women come on baby what you takin me for strut pout cut it out all takin and no givin watch me baby while i walk out the doori said honey i dont like this game you make me feel like a girl for hire all this fascination with leather and lace is just the smoke from another firehe said honey dont stop this speedin train before it reaches its destination lie down here beside me oh have some fun too dont turn away from your true vocationstrut pout put it out thats what you want from women come on baby what you takin me for strut pout cut it out all takin and no givin watch me baby while i walk out your doori wont be your baby doll be your baby doll i wont be your baby doll be your baby dollstrut pout put it out thats what you want from women come on baby what you takin me for strut pout cut it out all takin and no givin watch me baby while i walk out the doorstrut pout put it out thats what you want from women come on baby what you takin me for strut pout cut it out all takin and no givin watch me baby while i walk out your doorstrut pout put it out thats what you want from women come on baby what you takin me for strut pout cut it out all takin and no givin watch me baby while i walk out your door 
2000s, i thought that ive been hurt before but no ones ever left me quite this sore your words cut deeper than a knife now i need someone to breathe me back to lifegot a feeling that im going under but i know that ill make it out alive if i quit calling you my lover move onyou watch me bleed until i cant breathe im shaking falling onto my knees and now that im without your kisses ill be needing stitches im tripping over myself im aching begging you to come help and now that im without your kisses ill be needing stitchesjust like a moth drawn to a flame oh you lured me in i couldnt sense the pain your bitter heart cold to the touch now im gonna reap what i sew im left seeing red on my own  memory  byalicimusic     i just love him so much he just means so much to me hes an inspiration to me and my music ear xd    see all   got a feeling that im going under but i know that ill make it out alive if i quit calling you my lover move onyou watch me bleed until i cant breathe im shaking falling onto my knees and now that im without your kisses ill be needing stitches im tripping over myself im aching begging you to come help and now that im without your kisses ill be needing stitchesneedle and the thread gotta get you out of my head needle and the thread gonna wind up deadneedle and the thread gotta get you out of my head needle and the thread gonna wind up deadneedle and the thread gotta get you out of my head needle and the thread gonna wind up deadneedle and the thread gotta get you out of my head get you out of my headyou watch me bleed until i cant breathe im shaking falling onto my knees falling on my knees and now that im without your kisses ill be needing stitches and ill be needing stitches im tripping over myself im aching begging you to come help begging baby please and now that im without your kisses ill be needing stitchesand now that im without your kisses ill be needing stitches and now that im without your kisses ill be needing stitches 
1980s, think about it there must be higher love down in the heart or hidden in the stars above without it life is a wasted time look inside your heart ill look inside minethings look so bad everywhere in this whole world what is fair we walk blind and we try to see falling behind in what could bebring me a higher love bring me a higher loveoh bring me a higher love wheres that higher love i keep thinking ofworlds are turning and were just hanging on facing our fear and standing out there alone a yearning and its real to me there must be someone whos feeling for methings look so bad everywhere in this whole world what is fair we walk blind and we try to see falling behind in what could bebring me a higher love bring me a higher love oh bring me a higher love wheres that higher love i keep thinking ofbring me a higher love bring me a higher love oh bring be a higher love i could rise above on a higher lovei will wait for it im not too late for it until then ill sing my song to cheer the night along bringi could light the night up with my soul on fire i could make the sun shine from pure desire let me feel that love come over me let me feel how strong it could beoh bring me a higher love bring me a higher love oh bring me a higher love wheres that higher love i keep thinking ofbring bring oh whoa bring a higher love i say bring it i said bring it bring me a higher lovewhoa whoa whoa bring me higher love bring me higher love bring that love bring me higher love oh oh i said bring oh yeah bring me higher love higher higher higher oh yeah higher love bring me higher love 
